Year,Code,Area
2021,410122,11646.8
2021,410181,18586.67
2021,410182,20106.73
2021,410183,26533.93
2021,410184,20297.53
2021,410185,25483.67
2021,410221,64938.0
2021,410222,39526.67
2021,410223,65611.33
2021,410225,59446.67
2021,410323,20962.37
2021,410324,491.77
2021,410325,19343.7
2021,410326,19887.2
2021,410327,41813.81
2021,410328,29799.6
2021,410329,39163.23
2021,410421,26706.67
2021,410422,59413.33
2021,410423,30508.0
2021,410425,31000.0
2021,410481,16340.0
2021,410482,48280.0
2021,410522,31227.1
2021,410523,36693.29
2021,410526,120800.0
2021,410527,60164.38
2021,410581,17198.37
2021,410621,55564.82
2021,410622,20488.47
2021,410721,20363.2
2021,410724,27384.0
2021,410725,54482.0
2021,410726,55917.33
2021,410727,67588.0
2021,410783,57866.67
2021,410781,32516.87
2021,410782,47016.47
2021,410821,14821.0
2021,410822,13441.61
2021,410823,40166.17
2021,410825,22163.0
2021,410882,22906.93
2021,410883,21609.72
2021,410922,49427.45
2021,410923,35859.67
2021,410926,31157.73
2021,410927,18902.45
2021,410928,83628.94
2021,411024,42694.8
2021,411025,45301.71
2021,411081,48106.57
2021,411082,40294.27
2021,411121,42825.93
2021,411122,42107.0
2021,411221,21400.0
2021,411224,13073.33
2021,411281,1080.0
2021,411282,24340.0
2021,411321,8364.0
2021,411322,82258.01
2021,411323,10900.0
2021,411324,53288.0
2021,411325,35492.6
2021,411326,35204.13
2021,411327,64341.85
2021,411328,141857.13
2021,411329,53599.91
2021,411330,15955.0
2021,411381,139291.2
2021,411421,68075.67
2021,411422,57649.93
2021,411423,48399.52
2021,411424,66537.38
2021,411425,77271.8
2021,411426,82320.78
2021,411481,114243.33
2021,411521,28456.27
2021,411522,8293.57
2021,411523,1281.87
2021,411524,2590.91
2021,411525,36026.67
2021,411526,37342.4
2021,411527,56000.0
2021,411528,107120.79
2021,411621,65220.0
2021,411622,74626.67
2021,411623,80193.33
2021,411624,73146.67
2021,411625,91113.33
2021,411627,111693.33
2021,411628,73099.67
2021,411681,75886.67
2021,411721,72514.87
2021,411722,98806.67
2021,411723,80919.33
2021,411724,130780.0
2021,411725,57411.33
2021,411726,76249.73
2021,411727,88114.73
2021,411728,54382.93
2021,411729,87544.83
2021,419001,21820.0
2019,410122,12469.87
2019,410181,22666.67
2019,410182,27113.47
2019,410183,27594.67
2019,410184,24584.0
2019,410185,24894.67
2019,410221,65180.0
2019,410222,39593.33
2019,410223,65606.67
2019,410225,59333.33
2019,410322,26572.0
2019,410323,21475.0
2019,410324,2623.0
2019,410325,20114.0
2019,410326,19886.0
2019,410327,42967.0
2019,410328,30326.0
2019,410329,38810.0
2019,410381,21503.0
2019,410421,26553.33
2019,410422,59013.33
2019,410423,30793.33
2019,410425,30853.33
2019,410481,16260.0
2019,410482,47933.33
2019,410522,31560.0
2019,410523,38050.07
2019,410526,120800.0
2019,410527,63073.13
2019,410581,17561.2
2019,410621,55420.0
2019,410622,20546.67
2019,410721,20658.0
2019,410724,26728.0
2019,410725,71138.0
2019,410726,55374.67
2019,410727,65439.2
2019,410783,55996.0
2019,410781,32705.0
2019,410782,48649.0
2019,410821,15181.33
2019,410822,13498.0
2019,410823,37878.33
2019,410825,21981.0
2019,410882,23055.33
2019,410883,22278.33
2019,410922,83529.67
2019,410923,50969.33
2019,410926,36267.0
2019,410927,29483.33
2019,410928,18868.0
2019,411024,42667.0
2019,411025,45087.0
2019,411081,47853.0
2019,411082,40308.0
2019,411121,42040.0
2019,411122,41220.0
2019,411221,21353.33
2019,411224,13700.0
2019,411281,993.33
2019,411282,24813.33
2019,411321,8360.67
2019,411322,82366.33
2019,411323,10853.33
2019,411324,52558.33
2019,411325,34780.0
2019,411326,34568.0
2019,411327,63991.67
2019,411328,142579.0
2019,411329,52953.33
2019,411330,16547.33
2019,411381,138180.0
2019,411421,68000.0
2019,411422,57380.0
2019,411423,48133.33
2019,411424,65986.67
2019,411425,77133.33
2019,411426,81880.0
2019,411481,112000.0
2019,411521,28393.33
2019,411522,14473.33
2019,411523,1260.0
2019,411524,8406.67
2019,411525,37333.33
2019,411526,37053.33
2019,411527,55400.0
2019,411528,92860.0
2019,411621,64840.0
2019,411622,73726.67
2019,411623,80046.67
2019,411624,72853.33
2019,411625,89060.0
2019,411627,109306.67
2019,411628,72866.67
2019,411681,75566.67
2019,411721,72151.0
2019,411722,98620.0
2019,411723,80769.0
2019,411724,130322.0
2019,411725,56419.0
2019,411726,74890.0
2019,411727,86600.0
2019,411728,54121.0
2019,411729,86800.0
2020,410122,11860.0
2020,410181,18854.71
2020,410182,22817.58
2020,410183,26599.5
2020,410184,21835.0
2020,410185,24225.0
2020,410221,65180.0
2020,410222,39486.67
2020,410223,65536.67
2020,410225,59333.33
2020,410322,26481.33
2020,410323,21429.33
2020,410324,1554.0
2020,410325,19724.93
2020,410326,19845.0
2020,410327,41725.0
2020,410328,29793.0
2020,410329,38730.8
2020,410381,21213.0
2020,410421,26681.0
2020,410422,59340.67
2020,410423,30554.63
2020,410425,30968.53
2020,410481,16282.73
2020,410482,48073.33
2020,410522,30471.33
2020,410523,35929.1
2020,410526,120725.9
2020,410527,59747.07
2020,410581,16928.0
2020,410621,55563.0
2020,410622,20417.2
2020,410721,20109.53
2020,410724,26980.0
2020,410725,53563.27
2020,410726,55394.8
2020,410727,67270.67
2020,410783,56630.0
2020,410781,31970.93
2020,410782,46614.47
2020,410821,14821.0
2020,410822,13498.0
2020,410823,38930.33
2020,410825,22151.0
