code,year,region
140727,2006,Shanxi
621221,2020,Gansu
621224,2020,Gansu
621025,2021,Gansu
411221,2003,Henan
411221,2004,Henan
411221,2005,Henan
411221,2006,Henan
410323,2003,Henan
410323,2004,Henan
410323,2005,Henan
410323,2006,Henan
411323,2003,Henan
411323,2004,Henan
411323,2005,Henan
411323,2006,Henan
410324,2021,Henan
411523,2021,Henan
140121,2005,Shanxi
140121,2006,Shanxi
140121,2009,Shanxi
140121,2011,Shanxi
140121,2012,Shanxi
140121,2014,Shanxi
140121,2015,Shanxi
140121,2016,Shanxi
140702,2005,Shanxi
140702,2006,Shanxi
140702,2011,Shanxi
140702,2014,Shanxi
140981,2005,Shanxi
140981,2006,Shanxi
140981,2009,Shanxi
140981,2011,Shanxi
140981,2013,Shanxi
140981,2017,Shanxi
140981,2021,Shanxi
141126,2005,Shanxi
141126,2007,Shanxi
141126,2013,Shanxi
141126,2021,Shanxi
140105,2006,Shanxi
140105,2009,Shanxi
140105,2011,Shanxi
140105,2013,Shanxi
140105,2014,Shanxi
140105,2015,Shanxi
140105,2016,Shanxi
140105,2019,Shanxi
140728,2006,Shanxi
140728,2011,Shanxi
140728,2019,Shanxi
141181,2008,Shanxi
141181,2011,Shanxi
140423,2011,Shanxi
140428,2011,Shanxi
140429,2011,Shanxi
140429,2017,Shanxi
140429,2021,Shanxi
140722,2011,Shanxi
140722,2018,Shanxi
140722,2019,Shanxi
140722,2021,Shanxi
140727,2011,Shanxi
140727,2019,Shanxi
141121,2011,Shanxi
141182,2011,Shanxi
141182,2021,Shanxi
140425,2017,Shanxi
140425,2021,Shanxi
140430,2017,Shanxi
140430,2021,Shanxi
140521,2017,Shanxi
141025,2017,Shanxi
141028,2017,Shanxi
141028,2021,Shanxi
141029,2017,Shanxi
141122,2021,Shanxi
